File,Line,Index,Context
Bay_of_ConcepciC3B3n.html,6,422,"nates on Wikidata"",""All st"
Bay_of_ConcepciC3B3n.html,45,628,"uina.jpg 2x"" data-file-wid"
Bay_of_ConcepciC3B3n.html,45,650,"-width=""960"" data-file-hei"
Bay_of_ConcepciC3B3n.html,58,447,"s, and other data for this"
Bay_of_ConcepciC3B3n.html,58,692,"s, and other data for this"
Bay_of_ConcepciC3B3n.html,60,18,"e class=""metadata plainlin"
Bay_of_ConcepciC3B3n.html,62,568,".svg.png 2x"" data-file-wid"
Bay_of_ConcepciC3B3n.html,62,590,"-width=""600"" data-file-hei"
Bay_of_ConcepciC3B3n.html,105,40,"s=""catlinks"" data-mw=""inte"
Bay_of_ConcepciC3B3n.html,105,748,"nates_on_Wikidata"" title="""
Bay_of_ConcepciC3B3n.html,105,789,"nates on Wikidata"">Coordin"
Bay_of_ConcepciC3B3n.html,105,814,nates on Wikidata</a></li>
Bay_of_ConcepciC3B3n.html,188,1039,ps://www.wikidata.org/wiki
Bay_of_ConcepciC3B3n.html,188,1088,to connected data reposito
Bay_of_ConcepciC3B3n.html,188,1132,"skey=""g"">Wikidata item</a>"
Bay_of_ConcepciC3B3n.html,205,125,ps://www.wikidata.org/wiki
Bye_My_Boy.html,276,40,"s=""catlinks"" data-mw=""inte"
Bye_My_Boy.html,359,999,ps://www.wikidata.org/wiki
Bye_My_Boy.html,359,1048,to connected data reposito
Bye_My_Boy.html,359,1092,"skey=""g"">Wikidata item</a>"
Bye_My_Boy.html,376,125,ps://www.wikidata.org/wiki
Valentin_Yanin.html,101,323,"href=""http://data.bnf.fr/a"
Valentin_Yanin.html,101,360,"b120449899"">(data)</a></sp"
Valentin_Yanin.html,144,40,"s=""catlinks"" data-mw=""inte"
Valentin_Yanin.html,227,1007,ps://www.wikidata.org/wiki
Valentin_Yanin.html,227,1056,to connected data reposito
Valentin_Yanin.html,227,1100,"skey=""g"">Wikidata item</a>"
Valentin_Yanin.html,244,125,ps://www.wikidata.org/wiki
Kings_XI_Punjab_in_2014.html,221,487,".svg.png 2x"" data-file-wid"
Kings_XI_Punjab_in_2014.html,221,510,"width=""1280"" data-file-hei"
Kings_XI_Punjab_in_2014.html,229,487,".svg.png 2x"" data-file-wid"
Kings_XI_Punjab_in_2014.html,229,510,"width=""1280"" data-file-hei"
Kings_XI_Punjab_in_2014.html,237,485,".svg.png 2x"" data-file-wid"
Kings_XI_Punjab_in_2014.html,237,508,"width=""1280"" data-file-hei"
Kings_XI_Punjab_in_2014.html,245,449,".svg.png 2x"" data-file-wid"
Kings_XI_Punjab_in_2014.html,245,472,"width=""1350"" data-file-hei"
Kings_XI_Punjab_in_2014.html,253,451,".svg.png 2x"" data-file-wid"
Kings_XI_Punjab_in_2014.html,253,474,"width=""1350"" data-file-hei"
Kings_XI_Punjab_in_2014.html,269,485,".svg.png 2x"" data-file-wid"
Kings_XI_Punjab_in_2014.html,269,508,"width=""1280"" data-file-hei"
Kings_XI_Punjab_in_2014.html,277,449,".svg.png 2x"" data-file-wid"
Kings_XI_Punjab_in_2014.html,277,472,"width=""1350"" data-file-hei"
Kings_XI_Punjab_in_2014.html,293,451,".svg.png 2x"" data-file-wid"
